8,101,0.005
9,158,0.002
11,3937,0.024
14,1268,0.003
10,2358,0.009
11,99,0.001
9,46,0.0
11,125,0.0
6,40,0.0
14,295,0.0
12,129,0.001
9,53,0.0
12,311,0.001
14,11128,0.028
10,2361,0.008
10,40,0.0
9,28,0.0
4,13,0.0
13,4707,0.011
13,37492,0.073
6,84,0.0
7,64,0.0
7,29,0.0
15,109,0.0
6,18,0.0
14,4717,0.008
15,18799,0.023
11,27,0.0
10,21,0.0
11,606,0.0
6,23,0.001
5,14,0.0
15,9387,0.01
10,597,0.0
14,14172,0.016
4,13,0.0
14,18765,0.021
11,156,0.0
10,578,0.0
8,26,0.0
4,12,0.0
11,23,0.0
11,4693,0.007
4,14,0.0
8,70,0.0
17,185468,0.294
6,33,0.0
12,2379,0.001
12,50,0.0
14,9411,0.007
8,167,0.0
6,40,0.0
9,310,0.0
5,28,0.0
9,129,0.0
13,1182,0.001
3,12,0.0
10,147,0.0
5,36,0.0
12,607,0.001
12,6684,0.004
6,23,0.0
16,540523,1.666
14,64,0.0
8,503,0.001
5,9,0.0
13,7228,0.005
15,1241,0.001
6,41,0.0
10,53,0.0
6,40,0.0
12,646,0.001
13,178,0.0
9,162,0.0
10,91,0.0
15,37530,0.032
12,87,0.0
15,9530,0.007
10,169,0.0
9,24,0.0
13,86,0.0
6,47,0.0
13,1229,0.001
15,9512,0.007
14,198,0.001
12,107,0.0
13,432,0.001
12,154,0.0
11,26,0.0
8,25,0.0
16,74953,0.241
12,13436,0.01
7,36,0.0
12,44,0.0
9,54,0.0
9,93,0.0
6,22,0.0
11,844,0.0
11,150,0.001
7,27,0.0
12,1227,0.0
13,61,0.0
16,76792,0.073
14,9388,0.007
12,18733,0.013
15,4744,0.003
15,37497,0.036
8,30,0.0
10,311,0.0
6,53,0.0
8,35,0.0
16,953,0.001
8,35,0.0
14,1245,0.002
5,42,0.0
12,2357,0.001
7,23,0.0
12,1235,0.001
10,608,0.0
15,18772,0.014
12,307,0.0
9,103,0.0
6,56,0.0
11,1200,0.001
8,73,0.0
10,1380,0.001
13,43,0.0
15,200,0.0
4,20,0.0
11,75,0.0
10,601,0.0
6,14,0.0
6,17,0.0
11,313,0.0
12,1189,0.001
3,4,0.0
15,4706,0.003
9,41,0.0
13,441,0.0
7,64,0.0
7,160,0.0
12,2378,0.002
9,47,0.0
15,37474,0.139
7,24,0.0
13,9393,0.006
11,191,0.0
12,153,0.001
13,52,0.0
3,9,0.0
14,324,0.0
8,73,0.0
10,164,0.0
11,223,0.0
13,215,0.0
15,37471,0.029
15,362,0.0
7,22,0.0
8,128,0.0
7,49,0.0
14,436,0.0
14,2496,0.002
12,197,0.0
15,132193,0.136
8,84,0.0
10,182,0.0
11,125,0.0
4,24,0.0
6,40,0.0
12,107,0.0
11,59,0.0
6,40,0.0
12,40,0.0
10,330,0.0
6,16,0.0
7,41,0.0
15,9385,0.007
8,33,0.0
3,7,0.0
13,1194,0.0
11,228,0.001
9,32,0.0
4,9,0.0
8,165,0.0
11,379,0.0
9,162,0.0
10,55,0.0
6,40,0.0
16,19057,0.014
14,9388,0.007
12,607,0.0
17,299635,0.397
8,70,0.0
7,25,0.0
17,270749,0.38
10,169,0.0
15,37539,0.029
12,84,0.0
12,1189,0.001
9,161,0.0
11,1200,0.0
2,3,0.0
14,198,0.0
10,41,0.0
14,2432,0.002
14,621,0.0
12,236,0.0
12,170,0.0
7,14,0.0
7,22,0.0
6,27,0.0
14,96,0.0
15,18748,0.013
5,25,0.0
17,771460,2.126
16,74953,0.063
15,155972,0.313
10,308,0.001
11,23,0.0
9,23,0.0
9,28,0.0
14,2354,0.001
10,56,0.0
6,31,0.0
2,3,0.0
5,23,0.0
12,879,0.001
5,19,0.0
6,23,0.0
9,597,0.0
